tD,pD,dD,CD,s
0.01,0.09957804089951416,0.055204088691896025,0.01,0.0
0.01291549665014884,0.11370160886554537,0.058630314088001734,0.01,0.0
0.016681005372000592,0.1295783269476456,0.06584810049432815,0.01,0.0
0.021544346900318832,0.1473951321100373,0.07382396740777784,0.01,0.0
0.027825594022071243,0.16735298624960726,0.08261009826660455,0.01,0.0
0.03593813663804628,0.18966552784324997,0.09225338022158387,0.01,0.0
0.046415888336127774,0.21455771026661408,0.10279514933455848,0.01,0.0
0.05994842503189409,0.24226432306321688,0.11426808169821791,0.01,0.0
0.0774263682681127,0.2730270394940235,0.1266932877255053,0.01,0.0
0.1,0.30709145099636226,0.14007581104560757,0.01,0.0
0.1291549665014884,0.344701811583505,0.15440403195567923,0.01,0.0
0.16681005372000582,0.386097767058434,0.16964596242668897,0.01,0.0
0.21544346900318834,0.4315072036213543,0.1857451926996637,0.01,0.0
0.2782559402207124,0.4811409030152234,0.2026214440565508,0.01,0.0
0.3593813663804626,0.5351856739781411,0.2201670981406539,0.01,0.0
0.46415888336127775,0.5937972314922071,0.23824940219788307,0.01,0.0
0.5994842503189409,0.6570944566260497,0.25671132282837644,0.01,0.0
0.774263682681127,0.7251527126360742,0.2753760353941017,0.01,0.0
1.0,0.7980004019741074,0.29405155933805155,0.01,0.0
1.291549665014884,0.875614654214619,0.31253626543414054,0.01,0.0
1.6681005372000592,0.9579207010427035,0.33062963607086304,0.01,0.0
2.154434690031882,1.0447930700632444,0.3481355210767157,0.01,0.0
2.782559402207123,1.1360566257478055,0.364875882677777,0.01,0.0
3.593813663804626,1.231494796340332,0.3806939637729953,0.01,0.0
4.6415888336127775,1.3308522359648087,0.3954633719902783,0.01,0.0
5.994842503189409,1.4338476997114373,0.4090940842889444,0.01,0.0
7.742636826811269,1.5401797782127584,0.42152430996214774,0.01,0.0
10.0,1.649535609145536,0.4327326423044964,0.01,0.0
12.915496650148826,1.7616028296399264,0.4427303663225831,0.01,0.0
16.681005372000573,1.8760743517477962,0.4515522017944683,0.01,0.0
21.54434690031882,1.9926555782089448,0.4592630845486452,0.01,0.0
27.82559402207123,2.1110726478020574,0.4659383064248197,0.01,0.0
35.93813663804626,2.2310694890153187,0.47166716265848957,0.01,0.0
46.41588833612777,2.352417931711443,0.4765461918912653,0.01,0.0
